Date,Ticker,Shares,Price,Value,Weight
2024-03-03,CASH,1,,90.56364944324378,0.0008885888256003088
2024-03-03,AURA.TA,2394,13.827747802734375,9271.426745462435,0.09096901741523586
2024-03-03,TEVA.TA,686,48.2,9260.66403971965,0.09086341632567004
2024-03-03,ISCN.TA,2331,14.198311767578126,9269.364426534023,0.09094878243612584
2024-03-03,AZRM.TA,1817,18.217880859375,9270.939777723499,0.0909642394044787
2024-03-03,AZRG.TA,127,260.35669921875,9260.692271279418,0.09086369332696906
2024-03-03,MDTR.TA,3381,9.789827880859375,9270.244789242777,0.0909574203440534
2024-03-03,TASE.TA,1289,25.68205322265625,9271.577526662082,0.09097049684423349
2024-03-03,ARPT.TA,552,59.89,9259.006008583736,0.0908471481214962
2024-03-03,MZTF.TA,239,138.364248046875,9261.74379978528,0.09087401067267953
2024-03-03,SLARL.TA,4180,7.9194775390625,9271.367334603741,0.09096843449012762
2024-03-03,CEL.TA,2063,15.855096435546875,9160.920008424278,0.08988475179332983
2024-07-01,CASH,1,,90.56364944324378,0.0010426480761098725
2024-07-01,AURA.TA,2394,13.827747802734375,9271.426745462435,0.10674078748348396
2024-07-01,TEVA.TA,686,48.2,9260.66403971965,0.10661687778565886
2024-07-01,ISCN.TA,2331,14.198311767578126,9269.364426534023,0.10671704426116184
2024-07-01,AZRM.TA,1817,18.217880859375,9270.939777723499,0.10673518108423602
2024-07-01,AZRG.TA,127,260.35669921875,9260.692271279418,0.10661720281210886
2024-07-01,MDTR.TA,3381,9.789827880859375,9270.244789242777,0.10672717976795959
2024-07-01,TASE.TA,1289,25.68205322265625,9271.577526662082,0.10674252340875522
2024-07-01,ARPT.TA,552,59.89,9259.006008583736,0.10659778907860455
2024-07-01,MZTF.TA,239,138.364248046875,9261.74379978528,0.10662930892952298
2024-07-01,SLARL.TA,4180,7.9194775390625,9271.367334603741,0.10674010349362824
2024-07-01,CEL.TA,2063,15.855096435546875,9160.920008424278,0.10546853711064291
2024-11-03,CASH,1,,90.56364944324378,0.0008271783841291701
2024-11-03,AURA.TA,2394,13.827747802734375,9271.426745462435,0.08468214168743086
2024-11-03,TEVA.TA,686,48.2,9260.66403971965,0.08458383869721452
2024-11-03,ISCN.TA,2331,14.198311767578126,9269.364426534023,0.08466330514926958
2024-11-03,AZRM.TA,1817,18.217880859375,9270.939777723499,0.08467769388536135
2024-11-03,AZRG.TA,127,260.35669921875,9260.692271279418,0.08458409655493265
2024-11-03,MDTR.TA,3381,9.789827880859375,9270.244789242777,0.08467134609072181
2024-11-03,TASE.TA,1289,25.68205322265625,9271.577526662082,0.08468351887297769
2024-11-03,ARPT.TA,552,59.89,9259.006008583736,0.08456869478987121
2024-11-03,MZTF.TA,239,138.364248046875,9261.74379978528,0.08459370086809462
2024-11-03,SLARL.TA,4180,7.9194775390625,9271.367334603741,0.08468159904832127
2024-11-03,CEL.TA,2063,15.855096435546875,9160.920008424278,0.08367280974530439
2025-03-02,CASH,1,,72.90401239723451,0.0005799987896722315
2025-03-02,AURA.TA,2026,20.84851318359375,11814.73294268943,0.09399387745249055
2025-03-02,TASE.TA,869,48.5942822265625,11811.752216123356,0.09397016383586206
2025-03-02,SAE.TA,1138,37.10931640625,11812.303474667127,0.09397454945577062
2025-03-02,INRM.TA,2495,16.935877685546874,11819.187930382777,0.09402931977432144
2025-03-02,HARL.TA,702,60.1897265625,11818.67696051921,0.09402525467704238
2025-03-02,ELAL.TA,3684,11.47,11819.318044774507,0.09403035491885246
2025-03-02,ACKR.TA,5457,7.743043212890625,11818.84444185516,0.09402658709989471
2025-03-02,BSEN.TA,91,460.3,11716.33408819124,0.0932110506280475
2025-03-02,MGDL.TA,5741,7.36,11818.836942038555,0.09402652743398043
2025-03-02,PHOE.TA,642,65.7571435546875,11808.299159199581,0.09394269252433059
2025-03-02,CLIS.TA,271,99.808447265625,7565.64518648042,0.06018962340973488
2025-07-01,CASH,1,,107.95919284993579,0.0006356565432632394
2025-07-01,TASE.TA,799,67.26,15961.86860366278,0.09398242014211527
2025-07-01,HARL.TA,579,92.904140625,15976.94437855217,0.09407118530143362
2025-07-01,ELAL.TA,3967,13.56,15977.248100787263,0.09407297359774239
2025-07-01,PHOE.TA,561,95.868173828125,15974.13701016757,0.09405465570320383
2025-07-01,CLIS.TA,346,155.2,15949.530552087825,0.09390977451548817
2025-07-01,MMHD.TA,201,266.64267578125,15918.634286480292,0.09372785935960953
2025-07-01,POLI.TA,854,62.98287109375,15975.719036034994,0.09406397056623395
2025-07-01,LUMI.TA,888,60.5247216796875,15963.416904852733,0.09399153643648868
2025-07-01,NVPT.TA,532,101.1,15975.073942445213,0.09406017229810562
2025-07-01,NXSN.TA,428,125.5,15953.926391358631,0.09393565692458977
2025-07-01,TMRP.TA,831,40.9383349609375,10104.417632281406,0.059494138611725866
2025-11-02,CASH,1,,19.39212238339337,9.628451952984798e-05
2025-11-02,TASE.TA,782,77.0,18503.017050955936,0.0918699908850373
2025-11-02,HARL.TA,528,114.0,18496.25672320623,0.09183642494024921
2025-11-02,PHOE.TA,478,125.98814453125,18505.57770514248,0.09188270488060515
2025-11-02,CLIS.TA,330,182.0,18455.694756707966,0.09163502927152059
2025-11-02,MMHD.TA,186,323.1,18466.941483782488,0.0916908707978499
2025-11-02,POLI.TA,862,66.0921142578125,17506.606963391903,0.08692267956763583
2025-11-02,LUMI.TA,888,65.7501318359375,17941.331246738326,0.08908114463517339
2025-11-02,NXSN.TA,398,151.0,18467.371686457467,0.09169300681251823
2025-11-02,MGDL.TA,5074,11.87,18507.435847003246,0.09189193080713062
2025-11-02,ESLT.TA,38,1559.8934375,18214.76608639182,0.09043878572459348
2025-11-02,OPCE.TA,1003,59.44,18319.971958503793,0.09096114715815654
